Question,Answer,FAQ_Category_Name,FAQ_Form_Name,Escalation_contact_Name,Target_User_Type
How many students attend UMBC?,"There are approximately 9,000 undergraduate students and 3,000 graduate students. In Computer Science, there are approximately 900 undergraduate students, 150 MS students, and 75 PhD students. Approximately 40% of all graduate students are part-time.",General Information,NULL,NULL,All
What does UMBC stand for?,"The acronym UMBC stands for The University of Maryland Baltimore County. Founded in 1966, UMBC is a campus of the University of Maryland System specializing in science and technology. UMBC is located in Baltimore County, near Baltimore City, which accounts for its geographically-correct name. UMBC is a separate campus from UMAB (University of Maryland at Baltimore), located in Baltimore City. UMBC and UMAB share a common graduate school, known as The University of Maryland Graduate School, Baltimore. UMAB is the original campus of the University of Maryland system; currently it is best know for its medical and professional schools. UMBC is also separate from UMCP (University of Maryland College Park), located in College Park, inside the Washington D.C. beltway. Historically a land-grant agricultural school, UMCP is now a large comprehensive university, well known for its huge number of students, sports teams, and large classes. UMBC is entirely separate from the professional school UB (University of Baltimore), which is best known for its law and business schools.",General Information,NULL,NULL,All
How does course registration (including waitlists) work?,Visit this website: https://registrar.umbc.edu/services/registration/information-about-registration/,General Information,NULL,NULL,All
Where can I submit news or stories for the UMBC CSEE website and the CSEE Social Media?,"Fill out the Press Releases, News Pieces and Stories about CSEE Faculty and Student Activities Form.",Events/News,"Press Releases, News Pieces and Stories about CSEE Faculty and Student Activities",NULL,All
How do I request a course buyout?,Fill out the Course Buyout Request Form.,Forms,Course Buyout Request Form,NULL,All
How can I get approval for a special topics course?,Fill out the Special Topics Approval Form.,Forms,Special Topics Approval Form,NULL,All
How do I request a faculty appointment?,Fill out the Faculty Appointment Request Form.,Forms,Faculty Appointment Request Form,NULL,All
How do I reserve a room or lab space?,Fill out the Room Reservation Requests Form.,Forms,Room Reservation Requests,Rebecca Dongarra,All
How can I get card swipe access or room access?,Fill out the Card Swipe/Room Access Request Form.,Forms,Card Swipe/Room Access Request,NULL,Faculty
How do I remove my card swipe access or room access?,Fill out the Remove Card Swipe/Room Access Request Form.,Forms,Remove Card Swipe/Room Access Request,NULL,All
How do I request a parking code?,Fill out the Parking Code Requests Form.,Forms,Parking Code Requests,NULL,Faculty
How can I update my UMBC alumni information?,Fill out the UMBC Campus Alumni Update Form.,Forms,UMBC Campus Alumni Update Form,NULL,All
How do I request a Resident Assistant (RA) contract?,Fill out the RA Contract Request: Fall 2025 or AY25/26 Form.,Forms,RA Contract Request: Fall 2025 or AY25/26,NULL,Faculty
How do I request a GA Contract Amendment?,Fill out the GA Contract Amendment Request Form.,Forms,GA Contract  Amendment Request,NULL,Faculty
How do I declare my research advisor or co-advisor?,Fill out the Declaration of Research Advisor/Co-Advisor Form.,Forms,Declaration of Research Advisor/Co-Advisor Form,NULL,All
How do I change my address or phone number?,Fill out the Change of Address/Phone Number Form.,Forms,Change of Address/Phone Number Form,NULL,All
Where can I find UMBC Graduate School forms?,Fill out these UMBC Graduate School Forms.,Forms,UMBC Graduate School Forms,NULL,Graduate Student
How do I report completion of my Graduate Assistant duties?,Fill out the Statement of Completion of Duties by Graduate Assistant Form.,Forms,Statement of Completion of Duties by Graduate Assistant,NULL,Graduate Student
Where can I find graduate assistant forms?,Fill out these Graduate Assistant Forms.,Forms,Graduate Assistant Forms,NULL,Graduate Student
How do I apply to the computer science BS/MS Accelerated Program?,Fill out the CMSC BS/MS Program Accelerated Application Form.,Forms,CMSC BS/MS Program Accelerated Application Form,NULL,Graduate Student
How do I apply to the computer engineering BS/MS Program?,Fill out the CMPE BS/MS Program Application Form.,Forms,CMPE BS/MS Program Application Form,NULL,Graduate Student
How do I apply to the BS/MPS Cybersecurity Program?,Fill out the BS/MPS Cybersecurity Program Information & Application Form.,Forms,BS/MPS Cybersecurity Program Information & Application Form ,NULL,Graduate Student
How do I apply to the BS/MPS Data Science Program?,Fill out the BS/MPS Data Science Program Information & Application Form.,Forms,BS/MPS Data Science Program Information & Application Form ,NULL,Graduate Student
How do I get permission to enroll in a closed graduate course?,Fill out the Graduate Student Permission to Enroll in a Closed Course Form.,Forms,Graduate Student Permission to Enroll in a Closed Course Form,NULL,Graduate Student
How do I get permission to enroll in a closed undergraduate course?,Fill out the Undergraduate Student Permission to Enroll in a Closed Course Form.,Forms,Undergraduate Student Permission to Enroll in a Closed Course Form,NULL,Undergraduate Student
How can I get approval for CMSC courses outside my program?,Fill out the Request for Approval of CMSC Course(s) Outside of Chosen Program Form.,Forms,Request for Approval of CMSC Course(s) Outside of Chosen Program Form,NULL,All
How do I transfer course credits?,Fill out the Transfer of Credits Form.,Forms,Transfer of Credits Form,NULL,Graduate Student
How can I request a course equivalency review?,Review the Course Equivalency Request Guidelines.,Forms,Course Equivalency Request Guidelines,NULL,Ph.D. Student
How do I request CMSC course equivalency review?,Fill out the CMSC Course Equivalency Request Form.,Forms,CMSC Course Equivalency Request Form,NULL,Ph.D. Student
How do I request ECE course equivalency review?,Fill out the ECE Course Equivalency Request Form.,Forms,ECE Course Equivalency Request Form,NULL,Ph.D. Student
Where can I find the formatting and guidelines for my scholarly paper?,Refer to the Master of Science Scholarly Paper Format and Guidelines document.,Forms,Master of Science Scholarly Paper Format and Guidelines,NULL,Graduate Student
How do I get approval for my scholarly paper?,Fill out the Scholarly Paper Approval Form.,Forms,Scholarly Paper Approval Form,NULL,Graduate Student
Where do I report my annual graduate program PhD progress?,Fill out the CMSC Graduate Program PHD Student Annual Progress Report Form.,Forms,CMSC Graduate Program PHD Student Annual Progress Report Form,NULL,Ph.D. Student
What should I include in my comprehensive portfolio coversheet?,Review the Computer Science Comprehensive Portfolio Coversheet document.,Forms,Computer Science Comprehensive Portfolio Coversheet,NULL,Ph.D. Student
Where do I report my PhD comprehensive portfolio student research?,Complete the PhD Comprehensive Portfolio Student Research Statement Form.,Forms,PhD Comprehensive Portfolio Student Research Statement Form,NULL,Ph.D. Student
How can I get a faculty support letter for a PhD comprehensive portfolio?,Fill out the PhD Comprehensive Portfolio Faculty Support Letter Form.,Forms,PhD Comprehensive Portfolio Faculty Support Letter Form,NULL,Ph.D. Student
How can I get the CMPE/ENEE PhD comprehensive portfolio?,Complete the CMPE/ENEE PhD Comprehensive Portfolio document.,Forms,CMPE/ENEE PhD Comprehensive Portfolio ,NULL,Ph.D. Student
How do I nominate members for a PhD preliminary examination?,Fill out the PhD Preliminary Examination Nomination of Members Form.,Forms,PhD Preliminary Examination Nomination of Members Form,NULL,Ph.D. Student
How do I get approval for my PhD preliminary examination?,Fill out the PhD Preliminary Examination Approval Form.,Forms,PhD Preliminary Examination Approval Form,NULL,Ph.D. Student
Where can I find general student FAQs?,Refer to the Student FAQ.,Forms,Student FAQ,NULL,All
Where can I find registration and academic information?,Refer to the Student Registration and Academic Information.,Forms,Student Registration and Academic Information,NULL,All
What does CSEE stand for?,CSEE stands for the Department of Computer Science and Electrical Engineering at UMBC.,General Information,NULL,NULL,All
Where is the CSEE department located?,"The CSEE Main Office is located in ITE 325, 1000 Hilltop Circle, Baltimore, MD 21250.",General Information,NULL,NULL,All
What is the phone number for the CSEE department?,You can contact the CSEE Main Office by phone at 410-455-3500.,General Information,NULL,NULL,All
How can I contact the CSEE department?,"You can reach out via the department’s Contact Us page or by calling 410-455-3500. The office is located in ITE 325, UMBC.",General Information,NULL,NULL,All
Does the CSEE department have social media pages?,"Yes! Follow the Department of Computer Science and Electrical Engineering on Facebook: [https://www.facebook.com/UMBCCSEE], Twitter: [https://x.com/umbccsee?lang=en], YouTube: [https://www.youtube.com/channel/UCktOzyN5oSdTNnRiHu8WjlA], and LinkedIn: [https://www.linkedin.com/school/umbc-csee/].",General Information,NULL,NULL,All
